Date,Open,High,Low,Close,Volume
2025-03-18,76.45,77.25,73.9,74.72,4090884.0
2025-03-19,74.25,78.61,74.25,77.77,5117409.0
2025-03-20,77.91,78.49,75.2,76.51,3643157.0
2025-03-21,76.6,76.9,73.98,76.68,4600086.0
2025-03-24,78.0,80.93,78.0,80.4,4821720.0
2025-03-25,80.16,81.46,80.01,81.27,3421239.0
2025-03-26,80.74,81.16,76.97,77.51,5646385.0
2025-03-27,77.86,78.87,76.42,77.06,4088507.0
2025-03-28,76.27,77.4,71.8,71.91,6193596.0
2025-03-31,71.15,74.51,69.11,73.05,6862532.0
2025-04-01,73.25,75.39,71.72,74.96,6548734.0
2025-04-02,73.91,78.5,67.0,68.12,6330634.0
2025-04-03,69.33,70.06,64.13,64.61,8440248.0
2025-04-04,64.66,64.8,52.5,53.28,23078145.0
2025-04-07,46.29,58.94,45.25,54.56,18024328.0
2025-04-08,55.82,59.48,47.94,48.69,14296578.0
2025-04-09,51.01,66.05,46.28,65.61,25173999.0
2025-04-10,61.65,64.59,52.63,57.15,12550717.0
2025-04-11,58.59,61.91,56.47,61.0,7686689.0
2025-04-14,63.64,64.63,61.03,62.03,7400330.0
2025-04-15,63.35,64.24,60.48,60.85,13598696.0
2025-04-16,59.45,62.22,56.25,58.23,6826556.0
2025-04-17,59.31,60.26,57.45,58.51,6243787.0
2025-04-21,57.4,57.52,52.32,54.8,5487635.0
2025-04-22,55.5,61.85,54.7,61.41,7252056.0
2025-04-23,61.46,64.29,60.48,61.46,9807297.0
2025-04-24,60.3,65.88,59.55,65.42,4771002.0
2025-04-25,65.68,66.6,63.73,66.33,5639599.0
2025-04-28,65.5,67.2,64.13,66.33,5099555.0
2025-04-29,66.93,67.86,65.2,66.95,3920387.0
2025-04-30,67.07,69.42,62.78,69.22,6189824.0
2025-05-01,69.58,71.0,68.07,68.47,4315120.0
2025-05-02,69.8,72.55,69.27,72.0,4741474.0
2025-05-05,71.0,71.9,70.01,70.41,3600592.0
2025-05-06,69.51,71.24,68.17,70.61,4012807.0
2025-05-07,70.4,70.72,67.87,69.71,4884105.0
2025-05-08,71.4,73.17,69.95,70.92,6037964.0
2025-05-09,71.28,72.26,70.3,70.95,3719206.0
2025-05-12,76.22,78.25,73.89,77.5,5932233.0
2025-05-13,77.0,80.29,76.78,79.53,4791662.0
2025-05-14,79.65,80.24,78.86,79.05,4248514.0
2025-05-15,78.39,81.03,77.98,80.68,3988376.0
2025-05-16,81.03,82.4,79.25,79.89,3902627.0
2025-05-19,79.61,83.03,78.92,82.78,4415137.0
2025-05-20,81.76,82.29,80.31,81.45,3683091.0
2025-05-21,80.57,81.52,77.08,77.61,5262661.0
2025-05-22,78.03,78.98,76.38,77.63,3954490.0
2025-05-23,77.88,78.09,73.57,75.75,5333245.0
2025-05-27,79.42,80.8,77.9,80.74,4057800.0
2025-05-28,80.1,82.95,78.89,82.74,3719443.0
2025-05-29,83.42,83.43,78.48,79.33,4621444.0
2025-05-30,79.79,80.45,77.26,79.3,4488833.0
2025-06-02,78.4,81.39,77.95,80.57,3306332.0
2025-06-03,79.88,82.87,79.59,82.55,3817271.0
